ID	transcript_length	1hpf_2012_N7	1hpf_2013_21	1hpf_2013_41	2hpf_2012_N6	2hpf_2013_22	2hpf_2013_32	2hpf_2013_42	3hpf_2012_N5	3hpf_2013_23	3hpf_2013_33	4hpf_2012_N4	4hpf_2013_24	4hpf_2013_34	5hpf_2012_14	5hpf_2012_N3	5hpf_2013_25	6hpf_2012_23	6hpf_2012_N2	6hpf_2013_26	6hpf_2013_46	7hpf_2012_N1	7hpf_2013_17	7hpf_2013_27	7hpf_2013_47	8hpf_2012_18	8hpf_2012_N8B	8hpf_2013_18	8hpf_2013_28	8hpf_2013_48	9hpf_2012_37	9hpf_2013_49
Mle_000001	1173	1993	221	180	1531	190	491	38	1318	108	561	1470	150	544	828	859	131	500	1268	352	206	1304	515	249	208	573	850	639	347	824	1793	173
Mle_000002	775	98	0	0	85	1	8	0	1	1	13	60	2	30	18	1	7	30	147	39	26	8	22	40	93	82	188	58	42	46	96	186
Mle_000003	405	4	0	0	3	0	0	0	0	0	0	3	1	1	0	0	0	13	1	2	0	0	1	0	0	1	5	0	2	1	4	0
Mle_000004	550	6	0	0	33	0	0	0	0	0	0	11	2	0	2	2	4	0	5	1	0	1	0	0	0	3	23	3	2	3	5	0
Mle_000005	400	25	1	0	39	0	0	0	0	0	0	16	2	0	1	1	1	0	17	14	4	0	0	10	4	7	36	5	11	5	24	0
Mle_000006	1126	1954	9	13	1408	1	1074	1	37	192	1368	5351	738	1216	3704	1140	786	2938	3860	2624	3963	4566	1798	2227	5849	1994	3383	1499	2019	2520	1928	2784
Mle_000007	469	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0
Mle_000008	4260	631	53	47	1314	27	47	11	35	23	41	330	29	137	158	39	41	215	552	196	258	59	188	152	1179	422	1167	326	219	485	612	1265
Mle_000009	888	15	2	1	43	0	0	0	4	0	0	12	1	3	3	1	0	1	16	1	3	6	9	2	8	12	37	3	6	29	15	45
Mle_000010	3940	31864	12149	16106	31362	8237	6583	52485	17040	7170	10837	40928	6711	13443	27276	12577	5541	18531	18849	24897	24649	13999	22368	32307	54297	20636	37208	16188	20871	7845	25550	32134
Mle_000011	3105	1916	572	429	1452	390	379	509	864	388	388	3257	507	637	1955	811	482	1386	1275	1006	646	867	924	887	1499	1023	1851	1034	845	575	1691	771
Mle_000012	3497	346	307	359	412	240	211	117	517	232	168	694	244	269	384	379	213	116	276	148	123	276	359	98	240	121	218	453	94	382	289	144
Mle_000013	1659	107	3	4	180	2	11	0	3	3	14	60	5	18	28	1	5	7	2060	23	41	11	45	18	125	84	233	18	27	40	97	327
Mle_000014	1921	2110	1319	1419	1747	702	696	949	2321	620	641	2438	507	558	1731	2081	374	383	1468	745	471	1659	1740	671	1530	718	1637	1716	435	925	1631	839
Mle_000015	1480	20	1	0	30	2	0	0	0	1	1	14	2	2	3	2	3	5	24	11	0	0	3	3	7	16	34	3	7	11	20	5
Mle_000016	353	16	0	0	33	0	0	0	0	0	0	18	0	2	4	0	0	63	74	2	9	0	10	7	62	27	43	9	4	8	16	33
Mle_000017	1513	29	1	0	43	0	0	0	1	0	1	18	1	6	1	0	0	17	33	8	0	0	4	9	17	31	60	6	15	6	29	22
Mle_000018	2172	9913	3102	7286	7379	2404	2264	20759	6015	2244	2669	18297	2442	3585	14350	3983	1925	5828	6199	6132	6417	3740	4031	8204	13019	4685	9651	3686	3047	1540	7680	3417
