Gene	sp_id	sp_evalue	sp_desc	go_all	Pfam
Mle_000001	P06604	4e-15	Tubulin alpha-2 chain	GO:0005737;GO:0005874;GO:0045298;GO:0005525;GO:0003924;GO:0005200;GO:0051298;GO:0007094;GO:0007052	NA
Mle_000008	P08548	4e-09	LINE-1 reverse transcriptase homolog	GO:0046872;GO:0003964	NA
Mle_000010	Q8R3G1	1e-83	Nuclear inhibitor of protein phosphatase 1	GO:0016607;GO:0005654;GO:0005681;GO:0003677;GO:0004864;GO:0008599;GO:0003723;GO:0008283;GO:0006397;GO:0007275;GO:0006355;GO:0008380;GO:0006351;GO:0005515	PF00498
Mle_000011	O94830	1e-148	Phospholipase DDHD2	GO:0005737;GO:0005829;GO:0005793;GO:0005794;GO:0005815;GO:0016787;GO:0046872;GO:0016042;GO:0006654;GO:0090141;GO:0046872	PF02862
Mle_000013	P47972	6e-07	Neuronal pentraxin-2	GO:0005576;GO:0030246;GO:0046872;GO:0008306;GO:0007268;GO:0004308;GO:0005975	PF02973;PF02973
Mle_000014	Q7PXE2	3e-43	Ubiquitin-fold modifier 1	NA	NA
Mle_000018	P42124	2e-121	Histone-lysine N-methyltransferase E(z)	GO:0035098;GO:0035097;GO:0000790;GO:0005634;GO:0003677;GO:0042054;GO:0046976;GO:0046974;GO:0003700;GO:0007411;GO:0006342;GO:0006723;GO:0048813;GO:0016458;GO:0070734;GO:0051567;GO:0016571;GO:0007517;GO:0045892;GO:0022008;GO:0042810;GO:0035186;GO:0006351;GO:0005515	PF00856
Mle_000026	Q7SXP4	2e-47	Serine/arginine-rich splicing factor 1A	GO:0005634;GO:0000166;GO:0003723;GO:0006397;GO:0008380;GO:0003676;GO:0003723	PF00076;PF08777
Mle_000029	P62484	2e-10	Abl interactor 2	GO:0005913;GO:0005856;GO:0005829;GO:0030425;GO:0030175;GO:0030027;GO:0031209;GO:0070064;GO:0032403;GO:0017124;GO:0031625;GO:0008154;GO:0043010;GO:0016477;GO:0016358;GO:0007611;GO:0018108;GO:2000601;GO:0016601	NA
Mle_000031	P54132	0	Bloom syndrome protein	GO:0005737;GO:0000800;GO:0000228;GO:0016363;GO:0005730;GO:0005654;GO:0005634;GO:0016605;GO:0036310;GO:0005524;GO:0043140;GO:0004003;GO:0008026;GO:0016887;GO:0000405;GO:0009378;GO:0051880;GO:0004386;GO:0002039;GO:0003697;GO:0072757;GO:0006974;GO:0072711;GO:0071479;GO:0000729;GO:0006310;GO:0006281;GO:0006260;GO:0000731;GO:0000724;GO:0007095;GO:0051782;GO:0045910;GO:0045893;GO:0051259;GO:0016925;GO:0000079;GO:1901796;GO:0031297;GO:0048478;GO:0010165;GO:0000732;GO:0003676;GO:0005524;GO:0003676;GO:0005622;GO:0043140;GO:0006260;GO:0006281	PF00270;PF00270;PF00570;PF00570;PF09382;PF09382;PF09382
Mle_000034	P47970	1e-07	Neuronal pentraxin-2	GO:0043160;GO:0046872;GO:0006914	PF04111
Mle_000037	Q9WTR6	2e-54	Cystine/glutamate transporter	GO:0009986;GO:0005856;GO:0005887;GO:0005791;GO:0015327;GO:0007420;GO:0089711;GO:0070306;GO:0070527;GO:0035094;GO:0006979;GO:0009636;GO:0006810;GO:0055085;GO:0016020;GO:0015171;GO:0003333;GO:0016020	PF00324;PF00324;PF00324;PF13520;PF13520;PF13520
Mle_000040	Q63356	2e-14	Unconventional myosin-Ie	GO:0005912;GO:0005911;GO:0030136;GO:0005737;GO:0005856;GO:0016459;GO:0043234;GO:0051015;GO:0005524;GO:0042623;GO:0005516;GO:0003774;GO:0035091;GO:0032403;GO:0006897;GO:0032836;GO:0003094;GO:0072015;GO:0003774;GO:0016459	PF06017;PF06017
Mle_000045	P15638	5e-08	Salivary plasminogen activator alpha 2	GO:0005576;GO:0004252	NA
